,NITROGEN PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF NCA (Kg per ha),POTASH PER HA OF NCA (Kg per ha),avg_rain,RICE YIELD (Kg per ha)
3779,13.77,13.9,3.21,63,2321.56
3780,11.36,8.27,1.25,67.33333333,2235.53
3781,14.26,15.2,1.55,44.41666667,1976.85
3782,16.96,14.78,2.01,79.33333333,1862.16
3783,18.87,18.41,2,45.66666667,2155.42
3784,24.17,22.51,4.1,61.66666667,1894.41
3785,25.85,24.47,4.11,51.25,1574.59
3786,27.1,20.78,4.55,44.33333333,2132.12
3787,30.77,21.04,7,43.58333333,2883.54
3788,35.85,27.6,7.42,52.16666667,3257.72
3789,37.39,29.3,9.53,73.08333333,2767.81
3790,41.54,31.62,10.47,49.41666667,2164.26
3791,40.31,25.18,11.36,63.68333333,2458.43
3792,45.79,37.78,12.47,48.16666667,2335.67
3793,53.63,42.24,19.24,71.8,2273.69
3794,66.32,50.01,14.85,73.33333333,2046.76
3795,54.83,51.79,9.81,49.58333333,1904.19
3796,48.39,29.81,9.59,55.64166667,1355.49
3797,49.63,28.51,9.44,69.90833333,1980.99
3798,57.59,39.16,16.13,61.3,2568.87
3799,62.34,45.87,8.75,49.60833333,2016.62
3801,6.44,0.85,0.02,319.1916667,1160.98
3802,9.32,3.18,16.14,372.7166667,1471.22
3803,8.89,3.51,18.32,339.175,1449.83
3804,18.78,8.08,15.42,406.35,1353.46
3805,38.76,16.21,12.03,363.0833333,1323.51
3806,25.82,15.17,23.04,308.1666667,1551.34
3807,21.77,10.06,13.58,315.75,1551.59
3808,24.24,10.39,19.77,348.8333333,1542.37
3809,16.32,5.63,21.69,440.75,1514.2
3810,22.61,9.5,19.74,292.325,1667.44
3811,24.41,11.56,44.95,360.8833333,1913.61
3812,34.45,18.79,53.64,418.6,1612.38
3813,31.12,16.3,70.53,276.4333333,1601.73
3814,31.49,15.18,54.84,387.9833333,2592.09
3815,30.77,14.72,26.29,357.3583333,2607
3816,20.78,10.99,16.44,348.2,1726.05
3817,31.57,15.28,17.65,336.4,1785.91
3818,33.95,21.74,21.17,304.975,1827.02
3819,32.86,19.59,18.84,285.0583333,1875.48
3820,33.04,21.37,19.62,288.625,1819.35
3821,41.38,23.47,32.25,235.675,1812.08
3822,54.21,35.72,37.05,300.2833333,1835.87
3823,44.36,37.45,40.31,329.9416667,1803.43
3824,40.53,23.58,43.31,357.9166667,1826.77
3825,38.81,23.64,51.79,335.0833333,1772.03
3826,36.98,22.9,38.78,352.8333333,1864.5
3827,39.9,20.5,51.06,309.2083333,1891.36
3828,32.86,14.19,37.98,420.9166667,1875.54
3829,47.52,17.09,30.19,355.25,1883.26
3830,40.26,14.08,27.54,330.5,1959.6
3831,49.08,15.75,53.17,412,1940.54
3832,41.65,17.83,27.59,385,1917.15
3833,33.1,24.4,33.78,354.9166667,1911.01
3834,34.9,21.68,26.63,295,2029.21
3835,28.8,19.33,23.71,324.0833333,2149.27
3836,31.94,22.91,28.91,261,2111.67
3837,33.7,19.87,29.47,286.5833333,2622.52
3838,32.3,22.1,35.15,283.5833333,2632.21
3839,36.29,22.58,47.19,319.1666667,2394.14
3840,41.07,22.28,47.21,336.1666667,2453.31
3841,35.19,19.18,52.63,339.6666667,2333.96
3842,42.07,24.04,35.88,278.1666667,2347.62
3843,46.27,31.38,41.57,317.9916667,2333.78
3844,51.7,27.5,33.23,372.5,2353.61
3845,46.21,24.32,36.47,356,2425.97
3846,46.82,19.61,28.28,281.2333333,2540.97
3847,39.5,16.31,22.78,357.05,2695.5
3848,47.88,23.86,34.61,308.675,2653.09
3849,43.98,24.07,34.09,274.1083333,2577.42
3852,5.31,1.93,0.2,220.775,1674.58
3853,5.49,2.6,3.84,232.225,1755.24
3854,6.27,2.47,3.14,274.875,1350.69
3855,6.85,2.09,2.24,196.8916667,1543.38
3856,9.68,3.02,1.16,187.25,1339.84
3857,5.65,2.44,2.88,214.6,1582.19
3858,18.86,6.04,4.59,234.75,1336.77
3859,7.37,1.94,1.56,297.6833333,1541.19
3860,8.53,4.14,3.02,206.3916667,1200.46
3861,8.61,2.63,2.19,243.5833333,1667.81
3862,9.95,4.69,3.46,266.1333333,1659.5
3863,11.48,4.37,3.83,205.5166667,1609.09
3864,10.97,5.5,7.78,261.175,2441.91
3865,11.29,5.02,4.67,266.5166667,1718.64
3866,21.4,6.79,7.9,314.5583333,1855.68
3867,25.56,8.63,8.4,296.0333333,1779.41
3868,14.36,9.1,9.14,246.425,1789.77
3869,14.82,8.86,10.61,215.2416667,1711.21
3870,18.09,12.84,9.77,193.0583333,1302.33
3871,14.46,8.91,8.63,194.9583333,1258.43
3872,33.91,190.6,14.25,260.5,1726.84
3873,28.51,18.81,20.44,215.6666667,1542.25
3874,24.85,12.68,19.9,273,1806.26
3875,29.25,17.68,24.26,230.3333333,1712.7
3876,24.31,17.13,16.06,239.0833333,1792.49
3877,23.35,11.13,6.17,212.0083333,1822.71
3878,29.78,10.53,7.08,257.8083333,1933.42
3879,31.92,20.34,15.94,207.0833333,1836.09
3880,24.37,7.58,8.48,209.6666667,1700.94
3881,35.44,21.32,11.43,266.25,1526.85
3882,38.1,27.74,13.37,219.0833333,1747.41
3883,34.2,25.58,18.53,259.75,1674.74
3884,38.44,28.21,20.88,234.3333333,1745.86
3885,35.81,27.34,16.43,176,1111.87
3886,28.86,18.9,15.67,191.75,1202.58
3887,32.49,22.17,16.03,217.25,1648.08
3888,38.58,31.56,25.88,211.3333333,1836.74
3889,50.95,33,29.02,254.75,2024.66
3890,53.7,37.31,28.44,270,2008.13
3891,51.59,31.02,28.69,290.9583333,2016.42
3892,73.68,57.93,36.28,220.5833333,1521.18
3893,71.36,62.76,35.18,258.6416667,1934.1
